car_make,car_model,distance
Buick,Park Avenue,2469
BMW,X3,2773
Aston Martin,Rapide,2536
Kia,Rio,1691
Ford,Fusion,589
Plymouth,Voyager,1634
Mazda,B-Series Plus,803
BMW,Z4,2094
Porsche,911,2819
Pontiac,Bonneville,2232
Studebaker,Avanti,2849
Mercedes-Benz,SLK-Class,603
Audi,S4,2237
Mazda,929,741
Chevrolet,Express 1500,1555
BMW,530,2456
Chrysler,Concorde,2220
Mercedes-Benz,W201,684
Buick,Lucerne,1869
Toyota,Land Cruiser,1558
Plymouth,Grand Voyager,2552
Audi,A4,2819
Mazda,B-Series,2293
Kia,Spectra,2881
Hyundai,Santa Fe,1761
Volkswagen,GTI,2246
Subaru,Forester,1409
Lincoln,Navigator L,1379
Lincoln,MKS,2800
Pontiac,Firebird Formula,654
Plymouth,Colt,2130
Pontiac,Grand Prix,2226
Toyota,Corolla,2590
Chevrolet,1500,1649
Kia,Sephia,1423
Jeep,Compass,1749
Volkswagen,rio,2292
Subaru,Alcyone SVX,2044
Buick,Century,855
Mitsubishi,Precis,1487
Lamborghini,Gallardo,1330
Chevrolet,Suburban 1500,2153
Mercedes-Benz,E-Class,748
Geo,Prizm,710
Lexus,IS,2258
Pontiac,Tempest,1335
Volvo,C70,2634
Chevrolet,Express 1500,650
Buick,Regal,2468
Ford,Econoline E250,1228
Subaru,Legacy,1554
Dodge,Journey,2419
Aston Martin,V8 Vantage S,2919
Chevrolet,Silverado 1500,1720
Mercedes-Benz,SLR McLaren,2190
Suzuki,Sidekick,1228
Ford,Bronco II,2606
Lamborghini,Aventador,993
BMW,M5,539
Mercury,Mystique,1569
GMC,1500 Club Coupe,2879
Chevrolet,Suburban 2500,2053
Chevrolet,Malibu,2448
Ford,Club Wagon,1339
Dodge,Ram Van 2500,1242
GMC,Vandura G2500,990
Dodge,Stratus,672
Mitsubishi,Sigma,913
Chevrolet,Corvette,2722
Volkswagen,Eurovan,2454
Mercury,Sable,1493
Suzuki,SJ 410,661
Acura,NSX,2789
Lexus,ES,2256
Lincoln,Navigator L,1602
Porsche,Cayman,2762
GMC,Safari,2841
Lamborghini,Murciélago,2525
Porsche,911,552
Mercedes-Benz,M-Class,752
Volkswagen,Jetta,2089
Mercedes-Benz,S-Class,1887
Toyota,Land Cruiser,2798
Chevrolet,Corvette,943
Porsche,Boxster,775
Mercedes-Benz,E-Class,771
Honda,S2000,2910
Buick,Skylark,1347
Chevrolet,Citation,1424
Mitsubishi,Tredia,1510
Dodge,Ram 3500,2034
Lexus,IS-F,1031
Scion,xD,1114
Chevrolet,TrailBlazer,1278
Audi,A4,856
Ford,Windstar,1079
Infiniti,G,612
Mercury,Sable,1487
Suzuki,Esteem,2649
Infiniti,M,2893
Lexus,GS,2104
GMC,1500 Club Coupe,2637
Buick,Roadmaster,1474
Subaru,Loyale,2137
Jaguar,XJ Series,610
Mercedes-Benz,S-Class,1147
Chrysler,Concorde,1982
Chevrolet,Corvette,1271
Lincoln,MKT,587
Ford,Explorer Sport Trac,991
Maybach,57,575
MINI,Cooper Clubman,1986
BMW,1 Series,783
Land Rover,Discovery,1451
Nissan,Quest,1175
Chevrolet,Corvette,1551
Dodge,Caliber,1707
Toyota,Sequoia,1977
Audi,A6,1156
Toyota,Celica,759
Buick,LeSabre,2813
Oldsmobile,Achieva,1619
MINI,Cooper,909
Porsche,Cayenne,2187
Maserati,Quattroporte,803
Lexus,LX,2467
Buick,Terraza,2197
Aptera,2e,2014
Subaru,Legacy,906
Acura,TL,2424
Jaguar,S-Type,852
BMW,3 Series,728
Chevrolet,3500,2902
Aston Martin,V8 Vantage,2583
Dodge,Charger,2345
Mitsubishi,Pajero,1656
Ford,Econoline E250,1446
Porsche,944,1548
Volkswagen,GTI,577
Ford,Crown Victoria,2191
Volkswagen,New Beetle,2560
Aston Martin,V8 Vantage,2474
Dodge,Viper,1846
Ford,Econoline E250,1574
Toyota,Tacoma Xtra,1880
Audi,S5,2484
Dodge,D150 Club,2252
Dodge,Viper,801
Suzuki,Verona,2967
Chevrolet,Corvette,2175
Audi,S4,1067
Mazda,Protege,1054
Lincoln,Navigator,2097
Lotus,Exige,2138
Isuzu,Trooper,757
Infiniti,Q,2223
Dodge,Dakota,2266
Pontiac,Bonneville,2061
Mitsubishi,Montero Sport,845
Mazda,RX-8,2826
Cadillac,Eldorado,1757
Infiniti,J,2541
Ford,E350,1531
Chrysler,Crossfire,1782
Porsche,Boxster,1680
Lamborghini,Murciélago,1128
Lexus,ES,1216
Volkswagen,Jetta,1310
Mercedes-Benz,G-Class,1489
Daewoo,Nubira,1820
BMW,M3,525
Suzuki,SJ,2722
Saab,900,1076
Bentley,Continental GTC,524
Pontiac,Montana SV6,2002
Ford,Expedition EL,1216
Chevrolet,Caprice,985
Suzuki,Swift,1186
Aston Martin,DB9,2973
Mitsubishi,Endeavor,660
Jaguar,XK Series,2652
Chevrolet,Suburban 2500,1168
Hyundai,Sonata,2221
Pontiac,Firebird,864
Mitsubishi,Pajero,2143
Pontiac,Bonneville,606
Mazda,CX-9,684
Pontiac,Firefly,2755
Ford,Escort,1192
Aston Martin,Rapide,2371
Buick,Regal,2993
Cadillac,Eldorado,2525
Dodge,Ram 1500 Club,1232
Porsche,Boxster,2301
Hyundai,Tucson,2249
Nissan,Maxima,1018
Volkswagen,Eurovan,2733
Bentley,Arnage,627
Mercedes-Benz,GLK-Class,926
Audi,Quattro,1804
Ford,Explorer,1894
Ford,Tempo,2263
BMW,M6,630
Lincoln,Town Car,1396
Oldsmobile,Silhouette,1904
Volkswagen,Eurovan,593
Rolls-Royce,Phantom,1794
Ford,F250,2715
Volkswagen,Cabriolet,1794
Land Rover,LR2,1683
Isuzu,Rodeo,2005
Nissan,Sentra,1769
Mercedes-Benz,G-Class,847
Saab,9-3,2538
Cadillac,Fleetwood,607
Chevrolet,Venture,1727
Toyota,Matrix,2831
Kia,Sorento,2789
Ford,Thunderbird,2379
Audi,A8,1151
Subaru,Tribeca,2348
Mercury,Cougar,693
Ford,Thunderbird,2625
Mitsubishi,Truck,2277
Volkswagen,Rabbit,2900
Lexus,LS,699
Chevrolet,G-Series G30,542
Volvo,V70,2290
Honda,Fit,2687
Mercury,Grand Marquis,919
Porsche,Boxster,1311
Toyota,Tacoma,714
Cadillac,DTS,2318
Aptera,Typ-1,1278
Ford,Laser,1646
BMW,X5,1926
Mercedes-Benz,G-Class,2327
Audi,Q5,863
Rolls-Royce,Phantom,2835
Mercedes-Benz,CLS-Class,564
Infiniti,I,2239
GMC,Suburban 2500,1432
Toyota,Matrix,1922
Ford,Transit Connect,2705
Ford,Excursion,2195
Nissan,Frontier,694
Nissan,Quest,2700
Chevrolet,3500,2008
Dodge,Ram 3500,2859
Chrysler,Town & Country,2224
Nissan,Maxima,1255
Jaguar,S-Type,1150
Mitsubishi,Eclipse,1187
Chevrolet,Uplander,2770
Pontiac,Firefly,1940
Ferrari,458 Italia,2409
Pontiac,Grand Am,1102
Chevrolet,2500,1753
Ford,Econoline E250,1107
Chrysler,Town & Country,1770
Toyota,Land Cruiser,2949
GMC,Yukon XL 1500,1012
Porsche,944,2737
Ford,E350,2390
Mercury,Grand Marquis,2457
Dodge,Colt,1411
Audi,A6,2815
Honda,Civic GX,917
Porsche,928,2139
Chevrolet,Cavalier,1860
Ford,Mustang,2808
Mitsubishi,Mighty Max,1352
Nissan,Xterra,2149
Chevrolet,Sportvan G30,1739
Dodge,Dakota,1628
Dodge,Ram 3500 Club,995
Subaru,Justy,2598
Mitsubishi,Galant,2536
Ford,Explorer,1234
Plymouth,Acclaim,2828
Toyota,4Runner,2499
Isuzu,Trooper,2076
Buick,Park Avenue,2041
Toyota,Celica,2366
Isuzu,Rodeo,574
Hyundai,Veracruz,1681
Acura,TL,2840
Nissan,Frontier,1807
Alfa Romeo,164,2707
Jaguar,X-Type,926
GMC,Yukon,2806
Ford,Mustang,1902
Mitsubishi,Montero,2861
Dodge,Ram Van B150,1672
Isuzu,Trooper,1895
Nissan,Maxima,834
Buick,Century,913
Volkswagen,Corrado,1788
Chevrolet,Tahoe,1598
Mitsubishi,Chariot,2219
Mazda,Familia,1231
Volkswagen,Cabriolet,1279
Chevrolet,Suburban 1500,2426
Saab,9000,2428
Toyota,Celica,1572
Ford,Laser,2726
Nissan,240SX,1610
Mazda,RX-7,1277
BMW,Z4,996
Ford,LTD Crown Victoria,1857
GMC,Savana 1500,1497
Dodge,Grand Caravan,1320
Audi,S4,2698
Mercedes-Benz,CLK-Class,1429
Daewoo,Lanos,2623
Mazda,B-Series,2110
Kia,Spectra,703
Mercury,Cougar,517
Toyota,Celica,1580
Mazda,Miata MX-5,2086
Toyota,Tundra,2166
Mitsubishi,Lancer Evolution,1644
Chevrolet,Silverado 1500,1226
Hyundai,Accent,2088
Chevrolet,Sportvan G30,2094
Dodge,Durango,1410
Audi,S5,2486
Toyota,RAV4,562
Audi,TT,1100
Mercury,Mariner,2078
Chevrolet,Impala,1186
Chrysler,Sebring,1716
Dodge,Challenger,921
Suzuki,Aerio,1261
Volkswagen,Golf,2115
Infiniti,M,2846
Honda,CR-V,1492
Mazda,MPV,1904
Chevrolet,Tahoe,2819
GMC,1500,1778
Lotus,Esprit,2070
Chevrolet,Suburban 2500,2598
Cadillac,STS-V,1876
Toyota,Camry,2571
Chevrolet,Malibu,842
Ford,Probe,2883
Ford,Crown Victoria,584
Lexus,RX Hybrid,2246
Suzuki,SX4,1037
Volvo,960,1231
Ford,Focus,2815
Maserati,Quattroporte,791
Honda,Odyssey,2801
Chevrolet,Express 1500,1378
Buick,Century,2209
GMC,Savana 3500,1339
Chevrolet,Camaro,2393
Buick,LeSabre,2744
Ford,Expedition,2210
Aston Martin,V8 Vantage,2977
Pontiac,Montana SV6,2775
Spyker,C8 Double 12 S,1427
Toyota,Camry Hybrid,2325
Chevrolet,Express 1500,2827
Honda,Pilot,1299
Mercury,Grand Marquis,730
Volvo,S60,575
Lincoln,MKZ,577
Land Rover,Freelander,2580
Dodge,Caravan,729
Suzuki,Esteem,2028
Buick,Regal,2663
Mazda,626,2049
Toyota,Corolla,2221
Dodge,Viper,2448
Volkswagen,Jetta,1044
Cadillac,XLR-V,892
Ford,Econoline E150,1476
Pontiac,Grand Prix,1761
Land Rover,Range Rover,2694
Buick,Regal,2268
Ferrari,F430,1642
Pontiac,6000,2775
Mercury,Tracer,2014
GMC,Safari,2726
Eagle,Summit,2895
Kia,Spectra,2627
Mercury,Sable,708
BMW,Z4 M,1557
Ford,Explorer Sport Trac,2342
Dodge,Ram 2500,2933
Ford,Escort,2971
Chevrolet,Camaro,2873
GMC,Sierra 1500,919
Suzuki,XL-7,1550
Nissan,Xterra,860
BMW,5 Series,1354
GMC,Vandura 2500,707
Chevrolet,Tahoe,774
Toyota,MR2,1378
Mercedes-Benz,W201,1133
Land Rover,Discovery,2311
Mazda,RX-8,2185
Plymouth,Voyager,1853
Isuzu,Oasis,2164
Dodge,Grand Caravan,2000
Mercedes-Benz,SLR McLaren,2228
Toyota,Tacoma,1212
Chevrolet,Aveo,2511
Jaguar,XJ Series,2822
Mitsubishi,Challenger,2551
Audi,Cabriolet,1812
Cadillac,Eldorado,707
Pontiac,Grand Prix,1111
Dodge,Caravan,2329
Saab,9-3,1554
Chevrolet,Malibu,2600
Suzuki,Daewoo Magnus,1575
Mercedes-Benz,E-Class,1573
Mercury,Grand Marquis,2264
Ford,Mustang,954
Lincoln,Mark VIII,2945
Dodge,Grand Caravan,1632
GMC,2500,1490
Mazda,Tribute,964
BMW,M5,695
Mitsubishi,Pajero,1687
Pontiac,Fiero,2104
Infiniti,Q,616
Nissan,Sentra,2567
Toyota,Sequoia,1114
Dodge,Caliber,2440
Volvo,960,2932
Jeep,Wrangler,1874
Dodge,Caliber,2028
Isuzu,Oasis,1846
Ford,E250,2594
Mitsubishi,Galant,1831
Chrysler,300M,2056
Chevrolet,Suburban 1500,912
Mitsubishi,Challenger,1583
Subaru,Forester,2315
Volkswagen,Passat,614
Lexus,RX,1877
GMC,Sierra 1500,915
Volkswagen,Type 2,2418
Mercedes-Benz,M-Class,1102
Hyundai,Accent,1885
Infiniti,G,2988
Toyota,Camry,563
Mitsubishi,Pajero,2673
Mitsubishi,Cordia,1892
Pontiac,Bonneville,1400
Subaru,Loyale,1564
MINI,Cooper,1295
Volkswagen,Type 2,2035
Lexus,LS,2487
Saturn,Aura,593
Dodge,Dynasty,1623
Mercury,Mystique,701
GMC,2500 Club Coupe,2131
Bentley,Continental Flying Spur,2670
GMC,Sierra 2500,2511
GMC,Jimmy,631
Dodge,Viper,1762
Porsche,968,1261
Oldsmobile,Aurora,2252
Chevrolet,Aveo,889
Buick,Riviera,2717
Mazda,Navajo,1593
BMW,M3,751
Maserati,Biturbo,638
Lexus,GS,846
Buick,Century,1481
Chevrolet,Corvette,2686
Chevrolet,Camaro,1101
Cadillac,Escalade EXT,1315
Ford,Fairlane,2250
Ford,Explorer,1784
Honda,Accord,1240
Mitsubishi,Montero,940
Chrysler,PT Cruiser,1568
Toyota,Venza,2622
Mercury,Grand Marquis,2236
Lexus,GX,757
Mercedes-Benz,E-Class,930
Ford,Ranger,1316
Dodge,Caravan,1592
Saturn,Ion,1740
Ford,Freestar,1068
Jaguar,XK,2734
Subaru,Forester,2303
Porsche,911,1336
Lincoln,Continental,668
Volvo,XC70,1576
Land Rover,Discovery,2082
Ford,F-Series,1382
Chevrolet,Camaro,1861
Hyundai,Tiburon,683
Chevrolet,Impala,2511
Ford,Freestar,2574
Dodge,Ram 3500,751
Chevrolet,HHR,1948
Acura,NSX,850
Land Rover,LR2,1903
Chevrolet,Venture,1904
Volkswagen,Passat,2528
Maybach,62,2095
Volvo,940,2419
GMC,Envoy,1547
Subaru,Forester,1741
Cadillac,CTS,2978
Jeep,Commander,1645
Chrysler,300M,563
Ford,F-Series,1251
Toyota,Prius,1344
Toyota,4Runner,1767
Porsche,Boxster,771
Subaru,Forester,1905
Chevrolet,Monte Carlo,1473
Mazda,MPV,1737
BMW,M3,2900
Saturn,VUE,928
Toyota,Tacoma,2494
GMC,Sierra 2500,655
Ford,Edge,2166
Mercedes-Benz,C-Class,1655
Honda,Insight,1438
Chevrolet,Corvette,1180
BMW,5 Series,1888
Ford,F-Series,2616
Toyota,Ipsum,1731
Nissan,NX,2191
Volkswagen,Scirocco,828
Mercedes-Benz,SLK-Class,900
Ford,Ranger,622
Rolls-Royce,Ghost,1692
Saab,9-5,2158
Nissan,350Z,2908
Ford,Econoline E250,2644
Lexus,LX,2815
Dodge,Avenger,1267
Dodge,Ram 1500,1808
BMW,3 Series,1051
Maserati,Spyder,1427
Mitsubishi,Diamante,2014
Hyundai,XG350,1976
Ford,Aerostar,904
Lexus,SC,2304
Infiniti,G,1399
Hyundai,Elantra,2933
Ford,Ranger,892
Ford,Mustang,898
Spyker,C8 Spyder Wide Body,2000
Mazda,CX-7,2502
Jeep,Wrangler,2657
Toyota,Corolla,2676
Acura,TL,2968
Hyundai,Scoupe,1005
Chevrolet,Express 1500,2654
Toyota,RAV4,1481
Saturn,Aura,2495
Oldsmobile,Alero,1264
Infiniti,G,1029
Mitsubishi,Lancer,2444
Lincoln,Continental Mark VII,530
GMC,Savana,1947
Subaru,Justy,2599
Lotus,Esprit,2088
Chevrolet,TrailBlazer,1063
Acura,Integra,798
Mercury,Capri,1656
Buick,Riviera,786
Toyota,Tundra,2107
Ford,Bronco,1326
Volkswagen,Eos,2414
GMC,Sierra 3500,1812
Suzuki,Grand Vitara,2562
Chrysler,300,1367
BMW,1 Series,2435
Nissan,Cube,725
Maybach,57,630
Dodge,Stealth,1493
Lincoln,Town Car,555
Plymouth,Acclaim,1791
Buick,LaCrosse,1623
Oldsmobile,Ciera,2944
Ford,Festiva,1782
Lexus,LS,2588
Ford,Taurus,1765
Jaguar,XJ,767
Nissan,370Z,2783
Scion,xB,2928
Geo,Metro,1850
Buick,Lucerne,1657
Jaguar,S-Type,1963
Mazda,Protege,2756
Volkswagen,Fox,792
Dodge,Ram,728
Toyota,Prius,2577
Toyota,Corolla,886
Chevrolet,Corvette,2605
Pontiac,Gemini,916
Chevrolet,Bel Air,2666
GMC,Safari,2708
Ford,Econoline E150,1021
Toyota,Corolla,1013
Chrysler,Grand Voyager,2216
GMC,Sierra,2807
Porsche,928,1462
Acura,NSX,2135
Panoz,Esperante,1003
GMC,Sierra 2500,526
Volkswagen,GTI,832
Chevrolet,Malibu,1127
Suzuki,Cultus,1356
Mitsubishi,Montero Sport,624
Volvo,940,831
Hyundai,HED-5,1375
Ford,GT500,2625
Maserati,GranSport,961
Mercury,Cougar,1673
Honda,Odyssey,2996
Ford,Fusion,2745
Chevrolet,Monte Carlo,982
Volvo,XC90,1606
GMC,Sierra 3500,815
Aston Martin,V8 Vantage,847
Hyundai,Santa Fe,850
Mitsubishi,Galant,1867
Honda,CR-V,2138
Toyota,Solara,1751
Honda,Odyssey,1566
Honda,Odyssey,724
Chevrolet,Silverado 1500,1366
Mazda,RX-7,2098
GMC,Safari,533
Chevrolet,Cavalier,818
Chevrolet,TrailBlazer,1882
Ford,Explorer Sport Trac,2072
Volvo,V50,2565
Saab,9-2X,2776
Ford,Freestar,1544
Ford,Mustang,2450
Buick,Riviera,2054
Mazda,Mazda6,1535
Porsche,911,595
GMC,Sonoma Club Coupe,2016
Dodge,Ram Wagon B350,2880
Chrysler,300,799
Pontiac,Gemini,1319
Ferrari,612 Scaglietti,681
Honda,Pilot,845
Chevrolet,Silverado 1500,1588
Infiniti,Q,1727
Geo,Storm,2564
Volkswagen,Passat,615
Mazda,MX-5,1058
Chevrolet,Silverado 1500,1356
Saab,9-3,2273
Lexus,SC,1820
Nissan,370Z,2785
Chevrolet,Suburban 2500,1855
Audi,Q7,514
Volkswagen,Fox,2244
Mazda,Miata MX-5,691
Saturn,S-Series,2323
Chevrolet,Beretta,2849
BMW,3 Series,1959
Mercury,Cougar,1025
Ford,Crown Victoria,2442
Lincoln,Mark VIII,1423
Volvo,V70,827
Chevrolet,Cobalt SS,2658
Aston Martin,V8 Vantage S,1202
Chevrolet,Corvette,2746
Ford,Excursion,2934
BMW,3 Series,2622
GMC,Acadia,2308
GMC,Envoy XL,1914
Audi,S4,1725
Toyota,Prius,2355
Jeep,Wrangler,2622
Honda,CR-X,1012
Mazda,Mazda6 5-Door,1613
Lincoln,Continental,907
Dodge,Viper,1989
BMW,Z8,1341
Honda,Prelude,2427
Nissan,350Z,2583
Audi,Quattro,2944
Ford,Explorer,1022
GMC,Savana,1080
Saab,9-5,1208
Mercedes-Benz,M-Class,886
Chevrolet,Suburban 1500,1421
Chevrolet,HHR,600
Mitsubishi,Cordia,1918
Toyota,Camry,1904
Cadillac,Escalade,1320
Cadillac,Seville,1461
BMW,X5,1711
Infiniti,M,2349
Maserati,228,2025
Chevrolet,3500,2945
Mitsubishi,Sigma,1274
GMC,Vandura G3500,2686
Buick,Riviera,2770
Hyundai,Azera,2011
Volvo,V90,1402
Dodge,Ram Wagon B150,2928
Mercedes-Benz,G-Class,2961
Honda,Civic,751
Mitsubishi,Diamante,2955
Buick,Skylark,587
Suzuki,Forenza,1106
Lexus,GS,1616
Mitsubishi,Chariot,1920
Ford,F-Series,2537
Volkswagen,New Beetle,2880
GMC,Sierra 1500,1576
Buick,Park Avenue,1518
Mitsubishi,Expo LRV,1280
Kia,Spectra,1044
Ford,Escort,1460
Buick,Park Avenue,1299
Honda,Fit,2176
Hyundai,Santa Fe,746
Audi,A4,2030
Plymouth,Laser,1701
Volkswagen,Passat,1036
Mitsubishi,Truck,1329
Ford,F450,2189
Chevrolet,2500,1820
Isuzu,Amigo,1914
Pontiac,Firebird,988
Volkswagen,Eurovan,2921
Saturn,Outlook,1863
Bentley,Continental Flying Spur,2418
Mitsubishi,Chariot,2976
GMC,Savana 3500,2140
Subaru,Alcyone SVX,2728
Subaru,SVX,2185
Dodge,Ram 3500,2802
GMC,3500 Club Coupe,1183
BMW,Z4,2453
Lotus,Exige,1297
Nissan,Pathfinder,2602
Chevrolet,Express 2500,1350
Subaru,Loyale,2415
Saturn,S-Series,2896
Ford,Taurus,2582
Chrysler,PT Cruiser,1447
Porsche,968,2820
Suzuki,Samurai,1750
Toyota,Supra,2633
Buick,Century,1034
Chevrolet,Camaro,2414
Pontiac,Trans Sport,1660
Infiniti,QX,2598
Bentley,Arnage,1136
Pontiac,Grand Am,1650
Jeep,Liberty,1898
Chevrolet,Camaro,2196
Mercedes-Benz,E-Class,2096
Mercedes-Benz,CLS-Class,2985
Toyota,Land Cruiser,2131
Ford,Escort,760
Suzuki,Forenza,2143
Lexus,SC,1202
Mercedes-Benz,W126,817
Jaguar,S-Type,522
Infiniti,G37,2496
Ford,Explorer Sport Trac,1816
Lexus,ES,1494
Suzuki,Verona,2974
Toyota,MR2,1846
GMC,Safari,2670
Mercedes-Benz,E-Class,1421
Suzuki,XL7,618
Ford,F-Series,2243
Mercury,Mountaineer,975
Ford,Explorer,1452
Hummer,H1,804
Mercury,Sable,2345
Suzuki,XL7,2663
Toyota,Sienna,2281
Dodge,Neon,2588
Dodge,Nitro,906
Jeep,Commander,864
Lamborghini,Murciélago,2695
Ford,F150,994
Morgan,Aero 8,2364
GMC,Yukon XL 1500,653
Mazda,Navajo,2896
Subaru,XT,2345
Dodge,Stratus,2845
Buick,Regal,2743
GMC,Envoy,2510
Lincoln,MKT,2112
Ford,Bronco II,1265
Mercury,Grand Marquis,1282
Pontiac,Sunbird,876
Pontiac,Grand Prix,1905
Infiniti,IPL G,1698
Lamborghini,Murciélago,2972
Geo,Tracker,1318
Isuzu,Rodeo,863
Plymouth,Acclaim,995
Ford,Thunderbird,2059
Honda,del Sol,2281
Pontiac,Grand Am,2349
Dodge,Ram 3500,1652
Mercedes-Benz,S-Class,663
Pontiac,Firebird Formula,1656
Aptera,Typ-1,576
Dodge,Ram Van 3500,2414
Ford,Five Hundred,1227
Volkswagen,Vanagon,903
